ID,POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,STREET_NUM,STREETNAME,STREET_SEG,RATEAREA,SFPARKAREA,LAT,LONG
,691-22530,-,0,Black,SS,N,N,SFMTA,ON,0,2253,UNION ST,12872000,MC3, ,37.79684,-122.436961
,350-14470,-,0,Black,SS,N,N,SFMTA,ON,0,1447,CALIFORNIA ST,3547000,MC3, ,37.790719,-122.418895
,687-00590,-,0,Black,SS,N,N,SFMTA,ON,0,59,TAPIA DR,12375000,MC3, ,37.72165,-122.480577
,600-03161,600-03160,1,Black,MS,N,N,SFMTA,ON,0,316,PACIFIC AVE,10119000,MC2, ,37.797628,-122.401433
,600-03181,600-03180,1,Black,MS,N,N,SFMTA,ON,0,318,PACIFIC AVE,10119000,MC2, ,37.797618,-122.401511
,612-12281,612-12280,1,Black,MS,N,N,SFMTA,ON,0,1228,POLK ST,10566000,MC3, ,37.788296,-122.420147
,472-00541,472-00540,1,Black,MS,N,N,SFMTA,ON,0,54,HYDE ST,7114000,MC5,Civic Center,37.780929,-122.415279
,324-05051,324-05050,1,Black,MS,N,N,SFMTA,ON,0,505,BATTERY ST,2760000,MC5,Downtown,37.796062,-122.400613
,611-03730,-,0,Black,SS,N,N,SFMTA,ON,0,373,PARNASSUS AVE,10293000,MC3, ,37.763594,-122.457191
,462-05131,462-05130,1,Black,MS,N,N,SFMTA,ON,0,513,HAIGHT ST,6608000,MC3, ,37.771989,-122.43088
,440-28070,-,0,Black,SS,N,N,SFMTA,ON,0,2807,GEARY BLVD,6047102,MC3, ,37.782093,-122.449188
,568-17441,568-17440,1,Black,MS,Y,N,SFMTA,ON,0,1744,MISSION ST,9113000,MC3, ,37.768755,-122.420116
,216-31380,-,0,Black,SS,Y,N,SFMTA,ON,0,3138,16TH ST,733000,MC5,Mission,37.764917,-122.423027
,340-00145,340-00140,5,Black,MS,Y,N,SFMTA,ON,0,14,BLUXOME ST,2993000,MC5,South Embarcadero,37.777406,-122.396239
,720-03279,720-03270,9,Black,MS,Y,N,SFMTA,ON,0,327,WASHINGTON ST,13405000,MC5,Downtown,37.795894,-122.399944
,658-00541,658-00540,1,Black,MS,N,N,SFMTA,ON,0,54,SPEAR ST,12044000,MC5,Downtown,37.793023,-122.394795
