ID,POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,STREET_NUM,STREETNAME,STREET_SEG,RATEAREA,SFPARKAREA,LAT,LONG
,561-02219,561-02210,9,Black,MS,N,N,SFMTA,ON,0,221,MAIN ST,8629000,MC5,Downtown,37.790319,-122.392899
,561-02218,561-02210,8,Black,MS,N,N,SFMTA,ON,0,221,MAIN ST,8629000,MC5,Downtown,37.790325,-122.392907
,561-02217,561-02210,7,Black,MS,N,N,SFMTA,ON,0,221,MAIN ST,8629000,MC5,Downtown,37.790331,-122.392914
,561-02216,561-02210,6,Black,MS,N,N,SFMTA,ON,0,221,MAIN ST,8629000,MC5,Downtown,37.790337,-122.392922
,561-02215,561-02210,5,Black,MS,N,N,SFMTA,ON,0,221,MAIN ST,8629000,MC5,Downtown,37.790343,-122.392929
,561-02214,561-02210,4,Black,MS,N,N,SFMTA,ON,0,221,MAIN ST,8629000,MC5,Downtown,37.790349,-122.392937
,440-38200,-,0,Black,SS,N,N,SFMTA,ON,0,3820,GEARY BLVD,6058201,MC3, ,37.781319,-122.460671
,472-03377,472-03370,7,Black,MS,N,N,SFMTA,ON,0,337,HYDE ST,7117000,MC3, ,37.784337,-122.416122
,472-03376,472-03370,6,Black,MS,N,N,SFMTA,ON,0,337,HYDE ST,7117000,MC3, ,37.784328,-122.41612
,472-03375,472-03370,5,Black,MS,N,N,SFMTA,ON,0,337,HYDE ST,7117000,MC3, ,37.784317,-122.416118
,472-03374,472-03370,4,Black,MS,N,N,SFMTA,ON,0,337,HYDE ST,7117000,MC3, ,37.784307,-122.416116
,472-03373,472-03370,3,Black,MS,N,N,SFMTA,ON,0,337,HYDE ST,7117000,MC3, ,37.784298,-122.416114
,472-03372,472-03370,2,Black,MS,N,N,SFMTA,ON,0,337,HYDE ST,7117000,MC3, ,37.78429,-122.416112
,440-08406,440-08400,6,Black,MS,N,N,SFMTA,ON,0,840,GEARY ST,6116000,MC3, ,37.7862,-122.417803
,440-08405,440-08400,5,Black,MS,N,N,SFMTA,ON,0,840,GEARY ST,6116000,MC3, ,37.786201,-122.41779
,440-08404,440-08400,4,Black,MS,N,N,SFMTA,ON,0,840,GEARY ST,6116000,MC3, ,37.786203,-122.417777
,440-08403,440-08400,3,Black,MS,N,N,SFMTA,ON,0,840,GEARY ST,6116000,MC3, ,37.786205,-122.417763
,440-08402,440-08400,2,Black,MS,N,N,SFMTA,ON,0,840,GEARY ST,6116000,MC3, ,37.786207,-122.417748
,542-10245,542-10240,5,Black,MS,N,N,SFMTA,ON,0,1024,LARKIN ST,8135000,MC3, ,37.787719,-122.418331
,542-10244,542-10240,4,Black,MS,N,N,SFMTA,ON,0,1024,LARKIN ST,8135000,MC3, ,37.787707,-122.418329
,542-10243,542-10240,3,Black,MS,N,N,SFMTA,ON,0,1024,LARKIN ST,8135000,MC3, ,37.787697,-122.418327
,542-10242,542-10240,2,Black,MS,N,N,SFMTA,ON,0,1024,LARKIN ST,8135000,MC3, ,37.787687,-122.418325
,724-02506,724-02500,6,Black,MS,N,N,SFMTA,ON,0,250,WILLOW ST,13664000,MC3, ,37.783195,-122.422445
,724-02505,724-02500,5,Black,MS,N,N,SFMTA,ON,0,250,WILLOW ST,13664000,MC3, ,37.783197,-122.42243
,724-02504,724-02500,4,Black,MS,N,N,SFMTA,ON,0,250,WILLOW ST,13664000,MC3, ,37.783198,-122.422418
,724-02503,724-02500,3,Black,MS,N,N,SFMTA,ON,0,250,WILLOW ST,13664000,MC3, ,37.7832,-122.422403
,724-02502,724-02500,2,Black,MS,N,N,SFMTA,ON,0,250,WILLOW ST,13664000,MC3, ,37.78321,-122.422329
,573-01396,573-01390,6,Black,MS,N,N,SFMTA,ON,0,139,ALICE B TOKLAS PL,9472000,MC3, ,37.785224,-122.421065
,573-01395,573-01390,5,Black,MS,N,N,SFMTA,ON,0,139,ALICE B TOKLAS PL,9472000,MC3, ,37.785226,-122.421054
,573-01394,573-01390,4,Black,MS,N,N,SFMTA,ON,0,139,ALICE B TOKLAS PL,9472000,MC3, ,37.785227,-122.421043
,561-02213,561-02210,3,Black,MS,N,N,SFMTA,ON,0,221,MAIN ST,8629000,MC5,Downtown,37.790356,-122.392945
,419-04241,419-04240,1,Black,MS,N,N,SFMTA,ON,0,424,FRANKLIN ST,5804000,MC5,Civic Center,37.778679,-122.421565
,568-02093,568-02090,3,Black,MS,N,N,SFMTA,ON,0,209,MISSION ST,9085000,MC5,Downtown,37.791597,-122.395109
,568-02092,568-02090,2,Black,MS,N,N,SFMTA,ON,0,209,MISSION ST,9085000,MC5,Downtown,37.791607,-122.395098
,561-00180,561-00180,10,Black,MS,N,N,SFMTA,ON,0,18,MAIN ST,8627000,MC5,Downtown,37.792548,-122.395946
,561-00189,561-00180,9,Black,MS,N,N,SFMTA,ON,0,18,MAIN ST,8627000,MC5,Downtown,37.792555,-122.395954
,561-00188,561-00180,8,Black,MS,N,N,SFMTA,ON,0,18,MAIN ST,8627000,MC5,Downtown,37.792563,-122.395963
,561-00187,561-00180,7,Black,MS,N,N,SFMTA,ON,0,18,MAIN ST,8627000,MC5,Downtown,37.792569,-122.395972
,561-00186,561-00180,6,Black,MS,N,N,SFMTA,ON,0,18,MAIN ST,8627000,MC5,Downtown,37.792576,-122.39598
,561-00185,561-00180,5,Black,MS,N,N,SFMTA,ON,0,18,MAIN ST,8627000,MC5,Downtown,37.792585,-122.395991
,561-00184,561-00180,4,Black,MS,N,N,SFMTA,ON,0,18,MAIN ST,8627000,MC5,Downtown,37.792591,-122.395999
,561-00183,561-00180,3,Black,MS,N,N,SFMTA,ON,0,18,MAIN ST,8627000,MC5,Downtown,37.792598,-122.396007
,330-05360,-,0,Black,SS,Y,N,SFMTA,ON,0,536,BRANNAN ST,3080000,MC5,South Embarcadero,37.777655,-122.397533
,892-00030,892-00001,30,Black,MS,N,N,PORT,OFF,892,0,EMBARCADERO NORTH,12553201,PortMC2, ,37.796453,-122.394586
,892-00029,892-00001,29,Black,MS,N,N,PORT,OFF,892,0,EMBARCADERO NORTH,12553201,PortMC2, ,37.796461,-122.394593
,892-00028,892-00001,28,Black,MS,N,N,PORT,OFF,892,0,EMBARCADERO NORTH,12553201,PortMC2, ,37.796469,-122.394601
,892-00027,892-00001,27,Black,MS,N,N,PORT,OFF,892,0,EMBARCADERO NORTH,12553201,PortMC2, ,37.796477,-122.394608
,892-00026,892-00001,26,Black,MS,N,N,PORT,OFF,892,0,EMBARCADERO NORTH,12553201,PortMC2, ,37.796485,-122.394614
,892-00025,892-00001,25,Black,MS,N,N,PORT,OFF,892,0,EMBARCADERO NORTH,12553201,PortMC2, ,37.796492,-122.394622
,892-00024,892-00001,24,Black,MS,N,N,PORT,OFF,892,0,EMBARCADERO NORTH,12553201,PortMC2, ,37.7965,-122.394628
,892-00023,892-00001,23,Black,MS,N,N,PORT,OFF,892,0,EMBARCADERO NORTH,12553201,PortMC2, ,37.796508,-122.394635
,892-00022,892-00001,22,Black,MS,N,N,PORT,OFF,892,0,EMBARCADERO NORTH,12553201,PortMC2, ,37.796514,-122.394641
,892-00021,892-00001,21,Black,MS,N,N,PORT,OFF,892,0,EMBARCADERO NORTH,12553201,PortMC2, ,37.796522,-122.394648
,892-00020,892-00001,20,Black,MS,N,N,PORT,OFF,892,0,EMBARCADERO NORTH,12553201,PortMC2, ,37.796436,-122.394614
,892-00019,892-00001,19,Black,MS,N,N,PORT,OFF,892,0,EMBARCADERO NORTH,12553201,PortMC2, ,37.796446,-122.394621
,892-00018,892-00001,18,Black,MS,N,N,PORT,OFF,892,0,EMBARCADERO NORTH,12553201,PortMC2, ,37.796453,-122.394629
,892-00017,892-00001,17,Black,MS,N,N,PORT,OFF,892,0,EMBARCADERO NORTH,12553201,PortMC2, ,37.796461,-122.394634
,892-00016,892-00001,16,Black,MS,N,N,PORT,OFF,892,0,EMBARCADERO NORTH,12553201,PortMC2, ,37.796468,-122.394642
,892-00015,892-00001,15,Black,MS,N,N,PORT,OFF,892,0,EMBARCADERO NORTH,12553201,PortMC2, ,37.796476,-122.394648
,324-05071,324-05070,1,Black,MS,N,N,SFMTA,ON,0,507,BATTERY ST,2760000,MC5,Downtown,37.79613,-122.400627
,209-04680,-,0,Black,SS,N,N,SFMTA,ON,0,468,09TH ST,458000,MC3, ,37.771361,-122.408758
,562-03221,562-03220,1,Black,MS,N,N,SFMTA,ON,0,322,MASON ST,8803000,MC1, ,37.786839,-122.409744
,420-02350,-,0,Black,SS,N,N,SFMTA,ON,0,235,FREMONT ST,5863000,MC5,Downtown,37.788662,-122.394285
,224-31650,-,0,Black,SS,N,N,SFMTA,ON,0,3165,24TH ST,1341000,MC3, ,37.752342,-122.415704
,224-31670,-,0,Black,SS,N,N,SFMTA,ON,0,3167,24TH ST,1341000,MC3, ,37.752336,-122.415795
,224-31690,-,0,Black,SS,N,N,SFMTA,ON,0,3169,24TH ST,1341000,MC3, ,37.752335,-122.41581
,700-05550,-,0,Black,SS,Y,N,SFMTA,ON,0,555,VALENCIA ST,13060000,MC5,Mission,37.763601,-122.421652
,444-00081,444-00080,1,Black,MS,N,N,SFMTA,ON,0,8,GRANT AVE,6381000,MC5,Downtown,37.78713,-122.404847
,324-11065,324-11060,5,Black,MS,N,N,SFMTA,ON,0,1106,BATTERY ST,2767000,MC3, ,37.801643,-122.401587
,324-11064,324-11060,4,Black,MS,N,N,SFMTA,ON,0,1106,BATTERY ST,2767000,MC3, ,37.801633,-122.401585
,324-11063,324-11060,3,Black,MS,N,N,SFMTA,ON,0,1106,BATTERY ST,2767000,MC3, ,37.801623,-122.401583
,324-11062,324-11060,2,Black,MS,N,N,SFMTA,ON,0,1106,BATTERY ST,2767000,MC3, ,37.801611,-122.401581
,563-03160,563-03002,16,Black,MS,Y,N,SFMTA,ON,0,316,MCALLISTER ST,8893000,MC5,Civic Center,37.780513,-122.417488
,440-28010,-,0,Black,SS,N,N,SFMTA,ON,0,2801,GEARY BLVD,6047102,MC3, ,37.782098,-122.449151
,440-28050,-,0,Black,SS,N,N,SFMTA,ON,0,2805,GEARY BLVD,6047102,MC3, ,37.782095,-122.449176
,462-14250,-,0,Black,SS,N,N,SFMTA,ON,0,1425,HAIGHT ST,6618000,MC3, ,37.770042,-122.446175
,563-01011,563-01010,1,Black,MS,N,N,SFMTA,ON,0,101,MCALLISTER ST,8890000,MC2, ,37.78085,-122.413797
,336-07261,336-07260,1,Black,MS,N,N,SFMTA,ON,0,726,BUSH ST,3437000,MC1, ,37.790117,-122.40964
,324-10288,324-10280,8,Black,MS,N,N,SFMTA,ON,0,1028,BATTERY ST,2766000,MC3, ,37.801301,-122.401517
,324-10287,324-10280,7,Black,MS,N,N,SFMTA,ON,0,1028,BATTERY ST,2766000,MC3, ,37.801292,-122.401516
,324-10286,324-10280,6,Black,MS,N,N,SFMTA,ON,0,1028,BATTERY ST,2766000,MC3, ,37.801285,-122.401515
,324-10285,324-10280,5,Black,MS,N,N,SFMTA,ON,0,1028,BATTERY ST,2766000,MC3, ,37.801276,-122.401513
,324-10284,324-10280,4,Black,MS,N,N,SFMTA,ON,0,1028,BATTERY ST,2766000,MC3, ,37.801268,-122.401511
,324-10283,324-10280,3,Black,MS,N,N,SFMTA,ON,0,1028,BATTERY ST,2766000,MC3, ,37.80126,-122.401509
,324-10282,324-10280,2,Black,MS,N,N,SFMTA,ON,0,1028,BATTERY ST,2766000,MC3, ,37.801249,-122.401507
,324-10266,324-10260,6,Black,MS,N,N,SFMTA,ON,0,1026,BATTERY ST,2766000,MC3, ,37.80123,-122.401503
,324-10265,324-10260,5,Black,MS,N,N,SFMTA,ON,0,1026,BATTERY ST,2766000,MC3, ,37.801218,-122.401501
,324-10264,324-10260,4,Black,MS,N,N,SFMTA,ON,0,1026,BATTERY ST,2766000,MC3, ,37.801208,-122.401499
,324-10263,324-10260,3,Black,MS,N,N,SFMTA,ON,0,1026,BATTERY ST,2766000,MC3, ,37.801199,-122.401497
,324-10262,324-10260,2,Black,MS,N,N,SFMTA,ON,0,1026,BATTERY ST,2766000,MC3, ,37.801186,-122.401495
,324-10026,324-10020,6,Black,MS,N,N,SFMTA,ON,0,1002,BATTERY ST,2765000,MC3, ,37.800609,-122.401378
,324-10025,324-10020,5,Black,MS,N,N,SFMTA,ON,0,1002,BATTERY ST,2765000,MC3, ,37.800599,-122.401376
,324-10024,324-10020,4,Black,MS,N,N,SFMTA,ON,0,1002,BATTERY ST,2765000,MC3, ,37.80059,-122.401374
,525-00612,525-00600,12,Black,MS,Y,N,SFMTA,ON,0,61,KAPLAN LN,7741000,MC5,Downtown,37.784883,-122.39901
,525-00200,525-00200,10,Black,MS,Y,N,SFMTA,ON,0,21,KAPLAN LN,7741000,MC5,Downtown,37.784986,-122.399229
,525-00401,525-00400,1,Black,MS,Y,N,SFMTA,ON,0,40,KAPLAN LN,7741000,MC5,Downtown,37.784979,-122.399222
,525-00402,525-00400,2,Black,MS,Y,N,SFMTA,ON,0,40,KAPLAN LN,7741000,MC5,Downtown,37.784971,-122.399211
,650-36160,-,0,Black,SS,N,N,SFMTA,ON,0,3616,SACRAMENTO ST,11268000,MC3, ,37.787534,-122.452537
,658-00021,658-00020,1,Black,MS,N,N,SFMTA,ON,0,2,SPEAR ST,12044000,MC5,Downtown,37.79363,-122.395556
,328-01280,-,0,Black,SS,N,N,SFMTA,ON,0,128,BEALE ST,2864000,MC5,Downtown,37.790532,-122.395187
,202-03320,-,0,Black,SS,Y,N,SFMTA,ON,0,332,02ND ST,139000,MC5,South Embarcadero,37.784779,-122.395899
,684-01420,-,0,Black,SS,Y,N,SFMTA,ON,0,142,TOWNSEND ST,12657000,MC5,South Embarcadero,37.779904,-122.391574
,444-00101,444-00100,1,Black,MS,N,N,SFMTA,ON,0,10,GRANT AVE,6381000,MC5,Downtown,37.787183,-122.404858
,561-00191,561-00190,1,Black,MS,N,N,SFMTA,ON,0,19,MAIN ST,8627000,MC5,Downtown,37.792793,-122.395995
,525-00403,525-00400,3,Black,MS,Y,N,SFMTA,ON,0,40,KAPLAN LN,7741000,MC5,Downtown,37.784964,-122.399202
,525-00404,525-00400,4,Black,MS,Y,N,SFMTA,ON,0,40,KAPLAN LN,7741000,MC5,Downtown,37.784957,-122.399194
,700-01513,700-01570,3,Black,MS,N,N,SFMTA,ON,0,151,VALENCIA ST,13053000,MC3, ,37.770277,-122.422296
,700-01517,700-01570,7,Black,MS,N,N,SFMTA,ON,0,151,VALENCIA ST,13053000,MC3, ,37.770236,-122.422292
,700-01512,700-01570,2,Black,MS,N,N,SFMTA,ON,0,151,VALENCIA ST,13053000,MC3, ,37.770287,-122.422297
,700-01514,700-01570,4,Black,MS,N,N,SFMTA,ON,0,151,VALENCIA ST,13053000,MC3, ,37.770267,-122.422295
,700-01510,700-01570,10,Black,MS,N,N,SFMTA,ON,0,151,VALENCIA ST,13053000,MC3, ,37.770208,-122.422289
,700-01518,700-01570,8,Black,MS,N,N,SFMTA,ON,0,151,VALENCIA ST,13053000,MC3, ,37.770227,-122.422291
,386-02085,386-02080,5,Black,MS,N,N,SFMTA,ON,0,208,DRUMM ST,4972000,MC5,Downtown,37.795823,-122.396699
,386-02088,386-02080,8,Black,MS,N,N,SFMTA,ON,0,208,DRUMM ST,4972000,MC5,Downtown,37.795851,-122.396705
,386-02082,386-02080,2,Black,MS,N,N,SFMTA,ON,0,208,DRUMM ST,4972000,MC5,Downtown,37.795795,-122.396694
,386-02064,386-02060,4,Black,MS,N,N,SFMTA,ON,0,206,DRUMM ST,4972000,MC5,Downtown,37.795735,-122.396681
,386-02063,386-02060,3,Black,MS,N,N,SFMTA,ON,0,206,DRUMM ST,4972000,MC5,Downtown,37.795724,-122.396679
,619-00350,619-00003,35,Black,MS,Y,N,SFMTA,ON,0,35,PETER YORKE WAY,10384000,MC3, ,37.785658,-122.424093
,619-00310,619-00003,31,Black,MS,Y,N,SFMTA,ON,0,31,PETER YORKE WAY,10384000,MC3, ,37.785673,-122.424075
,619-00290,619-00003,29,Black,MS,Y,N,SFMTA,ON,0,29,PETER YORKE WAY,10384000,MC3, ,37.785679,-122.424067
,619-00270,619-00003,27,Black,MS,Y,N,SFMTA,ON,0,27,PETER YORKE WAY,10384000,MC3, ,37.785685,-122.42406
,684-04748,684-04740,8,Black,MS,Y,N,SFMTA,ON,0,498,TOWNSEND ST,12664000,MC3, ,37.77375,-122.399422
,700-01664,700-01660,4,Black,MS,N,N,SFMTA,ON,0,166,VALENCIA ST,13053000,MC3, ,37.770003,-122.422486
,700-01663,700-01660,3,Black,MS,N,N,SFMTA,ON,0,166,VALENCIA ST,13053000,MC3, ,37.770014,-122.422487
,700-01662,700-01660,2,Black,MS,N,N,SFMTA,ON,0,166,VALENCIA ST,13053000,MC3, ,37.770023,-122.422488
,568-16600,568-16600,10,Black,MS,N,N,SFMTA,ON,0,1660,MISSION ST,9110000,MC3, ,37.771336,-122.419612
,568-16609,568-16600,9,Black,MS,N,N,SFMTA,ON,0,1660,MISSION ST,9110000,MC3, ,37.771344,-122.419609
,568-16608,568-16600,8,Black,MS,N,N,SFMTA,ON,0,1660,MISSION ST,9110000,MC3, ,37.771353,-122.419605
,568-16607,568-16600,7,Black,MS,N,N,SFMTA,ON,0,1660,MISSION ST,9110000,MC3, ,37.771363,-122.419601
,568-16606,568-16600,6,Black,MS,N,N,SFMTA,ON,0,1660,MISSION ST,9110000,MC3, ,37.771372,-122.419597
,568-16605,568-16600,5,Black,MS,N,N,SFMTA,ON,0,1660,MISSION ST,9110000,MC3, ,37.771382,-122.419593
,568-16604,568-16600,4,Black,MS,N,N,SFMTA,ON,0,1660,MISSION ST,9110000,MC3, ,37.771393,-122.419588
,568-16603,568-16600,3,Black,MS,N,N,SFMTA,ON,0,1660,MISSION ST,9110000,MC3, ,37.771401,-122.419585
,568-16602,568-16600,2,Black,MS,N,N,SFMTA,ON,0,1660,MISSION ST,9110000,MC3, ,37.771411,-122.419581
,411-00480,411-00006,48,Black,MS,Y,N,SFMTA,ON,0,48,FELL ST,5439000,MC5,Civic Center,37.776515,-122.418882
,411-00460,411-00006,46,Black,MS,Y,N,SFMTA,ON,0,46,FELL ST,5439000,MC5,Civic Center,37.776517,-122.418867
,411-00440,411-00006,44,Black,MS,Y,N,SFMTA,ON,0,44,FELL ST,5439000,MC5,Civic Center,37.776519,-122.418854
,411-00400,411-00004,40,Black,MS,Y,N,SFMTA,ON,0,40,FELL ST,5439000,MC5,Civic Center,37.776522,-122.418831
,411-00380,411-00004,38,Black,MS,Y,N,SFMTA,ON,0,38,FELL ST,5439000,MC5,Civic Center,37.776524,-122.418818
,411-00360,411-00004,36,Black,MS,Y,N,SFMTA,ON,0,36,FELL ST,5439000,MC5,Civic Center,37.776525,-122.418807
,411-00340,411-00004,34,Black,MS,Y,N,SFMTA,ON,0,34,FELL ST,5439000,MC5,Civic Center,37.776526,-122.418796
,411-00320,411-00004,32,Black,MS,Y,N,SFMTA,ON,0,32,FELL ST,5439000,MC5,Civic Center,37.776528,-122.418783
,847-05060,-,0,Black,SS,Y,N,PORT,ON,0,506,JEFFERSON ST,7460000,PortMC1, ,37.807634,-122.420917
,720-05255,720-05250,5,Black,MS,N,N,SFMTA,ON,0,525,WASHINGTON ST,13409000,MC5,Downtown,37.795532,-122.402727
,720-05254,720-05250,4,Black,MS,N,N,SFMTA,ON,0,525,WASHINGTON ST,13408000,MC5,Downtown,37.795534,-122.402711
,386-02111,386-02110,1,Black,MS,N,N,SFMTA,ON,0,211,DRUMM ST,4972000,MC5,Downtown,37.795802,-122.396947
,420-02330,-,0,Black,SS,N,N,SFMTA,ON,0,233,FREMONT ST,5863000,MC5,Downtown,37.788676,-122.394303
,470-06241,470-06240,1,Black,MS,N,N,SFMTA,ON,0,624,HOWARD ST,7035000,MC5,Downtown,37.786458,-122.398796
,582-01141,582-01140,1,Black,MS,N,N,SFMTA,ON,0,114,NEW MONTGOMERY ST,9544000,MC5,Downtown,37.787047,-122.400113
,203-06050,-,0,Black,SS,Y,N,SFMTA,ON,0,605,03RD ST,179000,MC5,South Embarcadero,37.780044,-122.394092
,440-22180,-,0,Black,SS,N,N,SFMTA,ON,0,2218,GEARY BLVD,6044201,MC3, ,37.783381,-122.44003
,691-18010,-,0,Black,SS,N,N,SFMTA,ON,0,1801,UNION ST,12867000,MC3, ,37.797847,-122.429038
,324-10023,324-10020,3,Black,MS,N,N,SFMTA,ON,0,1002,BATTERY ST,2765000,MC3, ,37.800581,-122.401372
,324-10022,324-10020,2,Black,MS,N,N,SFMTA,ON,0,1002,BATTERY ST,2765000,MC3, ,37.800569,-122.40137
,413-07057,413-07050,7,Black,MS,N,N,SFMTA,ON,0,705,FILBERT ST,5504000,MC3, ,37.801096,-122.411108
,413-07056,413-07050,6,Black,MS,N,N,SFMTA,ON,0,705,FILBERT ST,5504000,MC3, ,37.801098,-122.411094
,658-00105,658-00100,5,Black,MS,N,N,SFMTA,ON,0,10,SPEAR ST,12044000,MC5,Downtown,37.793566,-122.395476
,350-32300,-,0,Black,SS,N,N,SFMTA,ON,0,3230,CALIFORNIA ST,3566000,MC3, ,37.787169,-122.448166
,563-03100,563-03002,10,Black,MS,Y,N,SFMTA,ON,0,310,MCALLISTER ST,8893000,MC5,Civic Center,37.780517,-122.417454
,324-05093,324-05090,3,Black,MS,N,N,SFMTA,ON,0,509,BATTERY ST,2760000,MC5,Downtown,37.796201,-122.400641
,324-05092,324-05090,2,Black,MS,N,N,SFMTA,ON,0,509,BATTERY ST,2760000,MC5,Downtown,37.796188,-122.400638
,658-00485,658-00480,5,Black,MS,N,N,SFMTA,ON,0,48,SPEAR ST,12044000,MC5,Downtown,37.793061,-122.394842
,658-00484,658-00480,4,Black,MS,N,N,SFMTA,ON,0,48,SPEAR ST,12044000,MC5,Downtown,37.793067,-122.394849
,658-00483,658-00480,3,Black,MS,N,N,SFMTA,ON,0,48,SPEAR ST,12044000,MC5,Downtown,37.793073,-122.394857
,658-00482,658-00480,2,Black,MS,N,N,SFMTA,ON,0,48,SPEAR ST,12044000,MC5,Downtown,37.79308,-122.394866
,658-00428,658-00420,8,Black,MS,N,N,SFMTA,ON,0,42,SPEAR ST,12044000,MC5,Downtown,37.793119,-122.394916
,658-00427,658-00420,7,Black,MS,N,N,SFMTA,ON,0,42,SPEAR ST,12044000,MC5,Downtown,37.793126,-122.394924
,658-00426,658-00420,6,Black,MS,N,N,SFMTA,ON,0,42,SPEAR ST,12044000,MC5,Downtown,37.793133,-122.394932
,658-00425,658-00420,5,Black,MS,N,N,SFMTA,ON,0,42,SPEAR ST,12044000,MC5,Downtown,37.79314,-122.394941
,658-00424,658-00420,4,Black,MS,N,N,SFMTA,ON,0,42,SPEAR ST,12044000,MC5,Downtown,37.793146,-122.394949
,658-00423,658-00420,3,Black,MS,N,N,SFMTA,ON,0,42,SPEAR ST,12044000,MC5,Downtown,37.793152,-122.394956
,658-00422,658-00420,2,Black,MS,N,N,SFMTA,ON,0,42,SPEAR ST,12044000,MC5,Downtown,37.79316,-122.394966
,658-00369,658-00360,9,Black,MS,N,N,SFMTA,ON,0,36,SPEAR ST,12044000,MC5,Downtown,37.793174,-122.394984
,658-00368,658-00360,8,Black,MS,N,N,SFMTA,ON,0,36,SPEAR ST,12044000,MC5,Downtown,37.79318,-122.394991
,658-00367,658-00360,7,Black,MS,N,N,SFMTA,ON,0,36,SPEAR ST,12044000,MC5,Downtown,37.793186,-122.394999
,445-06076,445-06070,6,Black,MS,N,N,SFMTA,ON,0,607,GREEN ST,6454000,MC3, ,37.799401,-122.409454
,445-06075,445-06070,5,Black,MS,N,N,SFMTA,ON,0,607,GREEN ST,6454000,MC3, ,37.799403,-122.409438
,445-06074,445-06070,4,Black,MS,N,N,SFMTA,ON,0,607,GREEN ST,6454000,MC3, ,37.799412,-122.409372
,445-06073,445-06070,3,Black,MS,N,N,SFMTA,ON,0,607,GREEN ST,6454000,MC3, ,37.799413,-122.40936
,445-06072,445-06070,2,Black,MS,N,N,SFMTA,ON,0,607,GREEN ST,6454000,MC3, ,37.799415,-122.409349
,720-03357,720-03350,7,Black,MS,Y,N,SFMTA,ON,0,335,WASHINGTON ST,13405000,MC5,Downtown,37.795883,-122.400028
,462-14210,-,0,Black,SS,N,N,SFMTA,ON,0,1421,HAIGHT ST,6618000,MC3, ,37.770045,-122.44615
,600-03165,600-03160,5,Black,MS,N,N,SFMTA,ON,0,316,PACIFIC AVE,10119000,MC2, ,37.797621,-122.401488
,600-03164,600-03160,4,Black,MS,N,N,SFMTA,ON,0,316,PACIFIC AVE,10119000,MC2, ,37.797623,-122.401475
,600-03163,600-03160,3,Black,MS,N,N,SFMTA,ON,0,316,PACIFIC AVE,10119000,MC2, ,37.797624,-122.401463
,600-03162,600-03160,2,Black,MS,N,N,SFMTA,ON,0,316,PACIFIC AVE,10119000,MC2, ,37.797626,-122.401449
,324-05095,324-05090,5,Black,MS,N,N,SFMTA,ON,0,509,BATTERY ST,2760000,MC5,Downtown,37.796224,-122.400646
,324-05094,324-05090,4,Black,MS,N,N,SFMTA,ON,0,509,BATTERY ST,2760000,MC5,Downtown,37.796213,-122.400643
,580-01211,580-01210,1,Black,MS,N,N,SFMTA,ON,0,121,NATOMA ST,9508000,MC5,Downtown,37.786725,-122.399335
,331-09031,331-09030,1,Black,MS,N,N,SFMTA,ON,0,903,BRYANT ST,3293000,MC3, ,37.774071,-122.404852
,658-00366,658-00360,6,Black,MS,N,N,SFMTA,ON,0,36,SPEAR ST,12044000,MC5,Downtown,37.793193,-122.395007
,658-00365,658-00360,5,Black,MS,N,N,SFMTA,ON,0,36,SPEAR ST,12044000,MC5,Downtown,37.793199,-122.395015
,658-00364,658-00360,4,Black,MS,N,N,SFMTA,ON,0,36,SPEAR ST,12044000,MC5,Downtown,37.793206,-122.395024
,658-00363,658-00360,3,Black,MS,N,N,SFMTA,ON,0,36,SPEAR ST,12044000,MC5,Downtown,37.793213,-122.395033
,658-00362,658-00360,2,Black,MS,N,N,SFMTA,ON,0,36,SPEAR ST,12044000,MC5,Downtown,37.79322,-122.395042
,658-00309,658-00300,9,Black,MS,N,N,SFMTA,ON,0,30,SPEAR ST,12044000,MC5,Downtown,37.793234,-122.395059
,658-00308,658-00300,8,Black,MS,N,N,SFMTA,ON,0,30,SPEAR ST,12044000,MC5,Downtown,37.793241,-122.395068
,658-00307,658-00300,7,Black,MS,N,N,SFMTA,ON,0,30,SPEAR ST,12044000,MC5,Downtown,37.793248,-122.395077
,658-00306,658-00300,6,Black,MS,N,N,SFMTA,ON,0,30,SPEAR ST,12044000,MC5,Downtown,37.793255,-122.395085
,658-00305,658-00300,5,Black,MS,N,N,SFMTA,ON,0,30,SPEAR ST,12044000,MC5,Downtown,37.793262,-122.395094
,658-00304,658-00300,4,Black,MS,N,N,SFMTA,ON,0,30,SPEAR ST,12044000,MC5,Downtown,37.79327,-122.395104
,658-00303,658-00300,3,Black,MS,N,N,SFMTA,ON,0,30,SPEAR ST,12044000,MC5,Downtown,37.793277,-122.395113
,658-00302,658-00300,2,Black,MS,N,N,SFMTA,ON,0,30,SPEAR ST,12044000,MC5,Downtown,37.793283,-122.395121
,658-00245,658-00240,5,Black,MS,N,N,SFMTA,ON,0,24,SPEAR ST,12044000,MC5,Downtown,37.793325,-122.395173
,658-00244,658-00240,4,Black,MS,N,N,SFMTA,ON,0,24,SPEAR ST,12044000,MC5,Downtown,37.793331,-122.395181
,658-00243,658-00240,3,Black,MS,N,N,SFMTA,ON,0,24,SPEAR ST,12044000,MC5,Downtown,37.793338,-122.395189
